3,0,3,0
3,0,3,0
3,0,3,0
3,0,3,0
3,0,3,0
3,0,3,0
3,0,3,0
3,0,3,0
3,0,3,0
4,0,3,1
4,0,3,1
4,0,3,1
4,0,3,1
4,0,3,1
4,0,3,1
5,0,3,2
5,0,3,2
5,0,3,2
5,0,4,1
5,0,4,1
5,0,4,1
5,0,4,1
5,0,4,1
5,0,5,0
7,0,5,2
7,0,5,2
8,0,5,3
8,0,5,3
8,0,6,2
8,0,6,2
10,0,6,4
10,0,6,4
11,0,6,5
11,0,7,4
12,0,7,5
13,0,7,6
15,0,7,8
15,0,8,7
15,0,8,7
16,0,8,8
16,0,8,8
16,0,8,8
16,0,9,7
19,0,11,8
19,0,11,8
22,0,11,11
26,0,11,15
28,0,11,17
29,0,11,18
30,0,14,16
31,0,15,16
31,0,15,16
32,0,15,17
35,0,15,20
37,0,15,22
38,0,15,23
41,1,15,25
45,1,15,29
48,1,20,27
50,1,20,29
57,1,20,36
58,1,20,37
59,1,21,37
68,1,22,45
68,1,22,45
81,1,24,56
87,1,24,62
88,1,24,63
89,1,24,64
92,1,24,67
96,1,33,62
134,1,33,100
135,3,33,99
142,3,36,103
146,4,36,106
158,4,36,118
159,5,36,118
164,5,36,123
172,5,48,119
178,5,50,123
191,5,50,136
195,6,74,115
204,6,74,124
205,6,74,125
210,6,74,130
219,6,75,138
229,6,76,147
242,6,76,160
248,6,77,165
254,6,77,171
255,7,78,170
260,7,79,174
269,7,81,181
276,7,85,184
281,7,90,184
291,7,90,194
294,7,90,197
300,7,90,203
301,8,90,203
311,8,216,87
327,8,224,95
334,8,225,99
344,8,227,109
353,9,227,117
355,9,227,119
356,9,235,112
361,9,257,95
371,9,262,100
378,9,274,95
386,10,296,80
388,10,296,82
392,10,296,86
398,10,301,87
