49996,1,3
49996,1,3
49996,1,3
49996,1,3
49996,1,3
49996,1,3
49995,2,3
49995,2,3
49995,2,3
49995,1,4
49995,1,4
49995,1,4
49995,1,4
49995,1,4
49995,0,5
49993,2,5
49993,2,5
49992,3,5
49992,3,5
49992,2,6
49992,2,6
49990,4,6
49990,4,6
49989,5,6
49989,4,7
49988,5,7
49987,6,7
49985,8,7
49985,7,8
49985,7,8
49984,8,8
49984,8,8
49984,8,8
49984,7,9
49981,8,11
49981,8,11
49978,11,11
49974,15,11
49972,17,11
49971,18,11
49970,16,14
49969,16,15
49969,16,15
49968,17,15
49965,20,15
49963,22,15
49962,23,15
49960,25,15
49956,29,15
49953,27,20
49951,29,20
49944,36,20
49943,37,20
49942,37,21
49933,45,22
49933,45,22
49920,56,24
49914,62,24
49913,63,24
49912,64,24
49909,67,24
49905,62,33
49867,100,33
49868,99,33
49861,103,36
49858,106,36
49846,118,36
49846,118,36
49841,123,36
49833,119,48
49827,123,50
49814,136,50
49811,115,74
49802,124,74
49801,125,74
49796,130,74
49787,138,75
49777,147,76
49764,160,76
49758,165,77
49752,171,77
49752,170,78
49747,174,79
49738,181,81
49731,184,85
49726,184,90
49716,194,90
49713,197,90
49707,203,90
49707,203,90
49697,87,216
49681,95,224
49674,101,225
49665,108,227
49656,117,227
49654,119,227
49653,112,235
49648,95,257
49638,100,262
49631,95,274
49624,80,296
49622,82,296
49618,86,296
49612,87,301
49610,85,305
49608,73,319
49602,70,328
49596,72,332
49591,69,340
49589,71,340
49588,69,343
49582,71,347
49577,71,352
49574,67,359
49571,66,363
49569,67,364
49570,66,364
49565,64,371
49564,61,375
49563,58,379
49559,58,383
49556,58,386
49547,64,389
49546,65,389
49544,65,391
49537,71,392
49532,72,396
49528,76,396
49525,74,401
49521,78,401
49518,81,401
49513,78,409
49511,77,412
49508,76,416
49505,73,422
49500,65,435
49491,74,435
49494,71,435
49487,76,437
49486,72,442
49481,70,449
49477,70,453
49474,60,466
49469,65,466
49464,70,466
49463,71,466
49461,68,471
49454,73,473
49445,65,490
49438,72,490
49428,82,490
49426,84,490
49425,78,497
49419,79,502
49406,86,508
49407,80,513
49398,89,513
49391,96,513
49368,119,513
49360,107,533
49353,107,540
49345,115,540
49340,112,548
49324,127,549
49320,128,552
49317,131,552
49305,127,568
49297,127,576
49292,128,580
49283,124,593
49281,97,622
49278,99,623
49274,103,623
49272,84,644
49266,80,654
49259,76,665
49257,69,674
49253,69,678
49252,70,678
49247,75,678
49243,79,678
49242,63,695
49240,62,698
49231,68,701
49228,69,703
49225,66,709
49220,71,709
49219,60,721
49218,58,724
49214,62,724
49212,58,730
49209,56,735
49206,59,735
49204,61,735
49203,51,746
49202,48,750
49199,45,756
49194,47,759
49192,45,763
49190,47,763
49188,49,763
49186,48,766
49184,49,767
49180,47,773
49179,44,777
49177,38,785
49176,31,793
49173,26,801
49172,19,809
49171,20,809
49168,19,813
49156,31,813
49149,36,815
49143,42,815
49135,50,815
49127,58,815
